iter	Passed	Remaining
0	16	1677
1	36	1787
2	54	1777
3	71	1714
4	90	1723
5	103	1629
6	113	1502
7	121	1392
8	128	1302
9	134	1206
10	142	1150
11	150	1102
12	158	1060
13	166	1022
14	174	989
15	182	958
16	192	941
17	200	914
18	209	894
19	220	881
20	232	875
21	243	863
22	254	851
23	264	838
24	282	846
25	305	868
26	322	871
27	350	900
28	362	888
29	374	874
30	385	858
31	397	845
32	407	827
33	418	813
34	429	798
35	443	788
36	455	775
37	467	762
38	479	749
39	490	735
40	501	722
41	511	706
42	518	687
43	525	669
44	533	651
45	540	634
46	547	617
47	554	600
48	562	585
49	570	570
50	578	555
51	585	540
52	592	525
53	599	510
54	606	496
55	613	482
56	620	468
57	627	454
58	634	440
59	641	427
60	648	414
61	656	402
62	663	389
63	670	376
64	678	365
65	685	352
66	691	340
67	698	328
68	704	316
69	711	304
70	718	293
71	724	281
72	731	270
73	738	259
74	745	248
75	753	237
76	760	227
77	767	216
78	774	205
79	781	195
80	787	184
81	794	174
82	801	164
83	807	153
84	814	143
85	821	133
86	828	123
87	836	114
88	842	104
89	852	94
90	859	84
91	865	75
92	872	65
93	878	56
94	885	46
95	892	37
96	898	27
97	905	18
98	911	9
99	918	0
